,minutes,min_per_fga,min_per_fg3a,min_per_fta,min_per_orb,min_per_drb,min_per_ast,min_per_stl,min_per_blk,min_per_tov,min_per_pf
16689,12.183333333333334,2.0305555555555554,12.183333333333334,15.713341503267975,12.183333333333334,12.48708820662768,19.784143374741202,23.619281045751634,30.62291666666667,23.372530864197543,12.183333333333334
16690,35.0,2.0588235294117645,5.0,3.888888888888889,35.0,3.888888888888889,3.5,35.0,35.0,11.666666666666666,35.0
16691,30.3,1.7823529411764707,3.7875,15.15,30.3,15.15,30.3,30.3,25.885416666666668,10.1,6.0600000000000005
16692,30.2,1.8875,5.033333333333333,15.1,15.1,3.3555555555555556,30.2,25.277083333333334,30.2,15.1,6.04
16693,30.0,3.75,30.0,15.0,7.5,2.142857142857143,15.123677777777779,23.743888888888886,15.0,16.5299358974359,30.0
16694,29.8,3.3111111111111113,14.826689189189189,14.9,29.8,7.45,14.9,29.8,19.171180555555555,15.047453703703708,9.933333333333334
16695,20.883333333333333,2.0883333333333334,20.883333333333333,10.441666666666666,10.441666666666666,5.220833333333333,15.560034722222222,20.347638888888888,19.424351851851853,10.441666666666666,10.441666666666666
16696,20.616666666666667,1.7180555555555557,3.4361111111111113,20.616666666666667,20.616666666666667,7.3395191952750105,20.616666666666667,20.616666666666667,19.410416666666666,20.616666666666667,6.872222222222223
16697,19.15,2.39375,9.575,9.575,18.603125,9.575,6.383333333333333,14.650238095238098,19.627777777777776,15.335879629629634,15.512175925925929
16698,13.916666666666666,3.4791666666666665,13.916666666666666,4.638888888888888,13.916666666666666,3.4791666666666665,13.916666666666666,17.40982905982906,15.692592592592591,6.958333333333333,13.916666666666666
16699,10.133333333333333,10.133333333333333,6.9944444444444445,4.435416666666667,8.735000000000001,10.133333333333333,8.433333333333334,6.991666666666667,3.8833333333333333,5.633333333333333,5.066666666666666
16700,34.03333333333333,1.3613333333333333,5.672222222222222,4.8619047619047615,34.03333333333333,11.344444444444443,11.344444444444443,17.016666666666666,34.03333333333333,34.03333333333333,17.016666666666666
16701,28.566666666666666,3.5708333333333333,28.566666666666666,14.980092592592596,28.566666666666666,9.522222222222222,5.713333333333333,28.566666666666666,28.566666666666666,28.566666666666666,14.283333333333333
16702,24.966666666666665,1.9205128205128204,12.483333333333333,12.483333333333333,8.322222222222221,3.120833333333333,24.966666666666665,25.178472222222222,20.92291666666667,24.22557471264368,8.322222222222221
16703,18.466666666666665,3.693333333333333,18.466666666666665,4.616666666666666,11.320218855218853,3.693333333333333,18.466666666666665,18.96770833333333,9.233333333333333,13.796555555555553,8.626096096096095
16704,17.133333333333333,5.711111111111111,8.566666666666666,4.283333333333333,17.133333333333333,17.133333333333333,17.133333333333333,17.133333333333333,19.40666666666667,17.86548821548822,5.711111111111111
